year,ecurie,nom_historique,position,points,wins,budget_plafonne_musd,budget_total_estime_musd,prize_money_musd,roi_points_par_musd,periode,fiabilite
2014,Mercedes,Mercedes,1,701.0,16,,270,,2.596296296296296,Pré cost cap (2014-2020),FAIBLE
2014,Red Bull,Red Bull,2,405.0,3,,280,,1.4464285714285714,Pré cost cap (2014-2020),FAIBLE
2014,Williams,Williams,3,320.0,0,,125,,2.56,Pré cost cap (2014-2020),FAIBLE
2014,Ferrari,Ferrari,4,216.0,0,,460,,0.46956521739130436,Pré cost cap (2014-2020),FAIBLE
2014,McLaren,McLaren,5,181.0,0,,200,,0.905,Pré cost cap (2014-2020),FAIBLE
2014,Aston Martin,Force India,6,155.0,0,,90,,1.7222222222222223,Pré cost cap (2014-2020),FAIBLE
2014,Racing Bulls,Toro Rosso,7,30.0,0,,115,,0.2608695652173913,Pré cost cap (2014-2020),FAIBLE
2014,Alpine,Lotus F1,8,10.0,0,,145,,0.06896551724137931,Pré cost cap (2014-2020),FAIBLE
2014,Marussia,Marussia,9,2.0,0,,80,,0.025,Pré cost cap (2014-2020),FAIBLE
2014,Kick Sauber,Sauber,10,0.0,0,,95,,0.0,Pré cost cap (2014-2020),FAIBLE
2014,Caterham,Caterham,11,0.0,0,,75,,0.0,Pré cost cap (2014-2020),FAIBLE
2015,Mercedes,Mercedes,1,703.0,16,,340,,2.0676470588235296,Pré cost cap (2014-2020),FAIBLE
2015,Ferrari,Ferrari,2,428.0,3,,430,,0.9953488372093023,Pré cost cap (2014-2020),FAIBLE
2015,Williams,Williams,3,257.0,0,,125,,2.056,Pré cost cap (2014-2020),FAIBLE
2015,Red Bull,Red Bull,4,187.0,0,,270,,0.6925925925925925,Pré cost cap (2014-2020),FAIBLE
2015,Aston Martin,Force India,5,136.0,0,,100,,1.36,Pré cost cap (2014-2020),FAIBLE
2015,Alpine,Lotus F1,6,78.0,0,,130,,0.6,Pré cost cap (2014-2020),FAIBLE
2015,Racing Bulls,Toro Rosso,7,67.0,0,,125,,0.536,Pré cost cap (2014-2020),FAIBLE
2015,Kick Sauber,Sauber,8,36.0,0,,95,,0.37894736842105264,Pré cost cap (2014-2020),FAIBLE
2015,McLaren,McLaren,9,27.0,0,,210,,0.12857142857142856,Pré cost cap (2014-2020),FAIBLE
2015,Manor,Manor Marussia,10,0.0,0,,80,,0.0,Pré cost cap (2014-2020),FAIBLE
2016,Mercedes,Mercedes,1,765.0,19,,350,,2.1857142857142855,Pré cost cap (2014-2020),FAIBLE
2016,Red Bull,Red Bull,2,468.0,2,,280,,1.6714285714285715,Pré cost cap (2014-2020),FAIBLE
2016,Ferrari,Ferrari,3,398.0,0,,420,,0.9476190476190476,Pré cost cap (2014-2020),FAIBLE
2016,Aston Martin,Force India,4,173.0,0,,110,,1.5727272727272728,Pré cost cap (2014-2020),FAIBLE
2016,Williams,Williams,5,138.0,0,,130,,1.0615384615384615,Pré cost cap (2014-2020),FAIBLE
2016,McLaren,McLaren,6,76.0,0,,220,,0.34545454545454546,Pré cost cap (2014-2020),FAIBLE
2016,Racing Bulls,Toro Rosso,7,63.0,0,,140,,0.45,Pré cost cap (2014-2020),FAIBLE
2016,Haas,Haas,8,29.0,0,,100,,0.29,Pré cost cap (2014-2020),FAIBLE
2016,Alpine,Renault,9,8.0,0,,150,,0.05333333333333334,Pré cost cap (2014-2020),FAIBLE
2016,Kick Sauber,Sauber,10,2.0,0,,85,,0.023529411764705882,Pré cost cap (2014-2020),FAIBLE
2016,Manor,Manor,11,1.0,0,,80,,0.0125,Pré cost cap (2014-2020),FAIBLE
2017,Mercedes,Mercedes,1,668.0,12,,370,,1.8054054054054054,Pré cost cap (2014-2020),FAIBLE
2017,Ferrari,Ferrari,2,522.0,5,,410,,1.273170731707317,Pré cost cap (2014-2020),FAIBLE
2017,Red Bull,Red Bull,3,368.0,3,,310,,1.1870967741935483,Pré cost cap (2014-2020),FAIBLE
2017,Aston Martin,Force India,4,187.0,0,,125,,1.496,Pré cost cap (2014-2020),FAIBLE
2017,Williams,Williams,5,83.0,0,,135,,0.6148148148148148,Pré cost cap (2014-2020),FAIBLE
2017,Alpine,Renault,6,57.0,0,,190,,0.3,Pré cost cap (2014-2020),FAIBLE
2017,Racing Bulls,Toro Rosso,7,53.0,0,,150,,0.35333333333333333,Pré cost cap (2014-2020),FAIBLE
2017,Haas,Haas,8,47.0,0,,120,,0.39166666666666666,Pré cost cap (2014-2020),FAIBLE
2017,McLaren,McLaren,9,30.0,0,,220,,0.13636363636363635,Pré cost cap (2014-2020),FAIBLE
2017,Kick Sauber,Sauber,10,5.0,0,,100,,0.05,Pré cost cap (2014-2020),FAIBLE
2018,Mercedes,Mercedes,1,655.0,11,,400,,1.6375,Pré cost cap (2014-2020),MOYENNE
2018,Ferrari,Ferrari,2,571.0,6,,410,,1.3926829268292682,Pré cost cap (2014-2020),MOYENNE
2018,Red Bull,Red Bull,3,419.0,4,,330,,1.2696969696969698,Pré cost cap (2014-2020),MOYENNE
2018,Alpine,Renault,4,122.0,0,,195,,0.6256410256410256,Pré cost cap (2014-2020),MOYENNE
2018,Haas,Haas,5,93.0,0,,130,,0.7153846153846154,Pré cost cap (2014-2020),MOYENNE
2018,McLaren,McLaren,6,62.0,0,,220,,0.2818181818181818,Pré cost cap (2014-2020),MOYENNE
2018,Aston Martin,Force India,7,52.0,0,,120,,0.43333333333333335,Pré cost cap (2014-2020),MOYENNE
2018,Kick Sauber,Sauber,8,48.0,0,,135,,0.35555555555555557,Pré cost cap (2014-2020),MOYENNE
2018,Racing Bulls,Toro Rosso,9,33.0,0,,180,,0.18333333333333332,Pré cost cap (2014-2020),MOYENNE
2018,Williams,Williams,10,7.0,0,,135,,0.05185185185185185,Pré cost cap (2014-2020),MOYENNE
2019,Mercedes,Mercedes,1,739.0,15,,484,,1.5268595041322315,Pré cost cap (2014-2020),HAUTE
2019,Ferrari,Ferrari,2,504.0,3,,463,,1.0885529157667386,Pré cost cap (2014-2020),HAUTE
2019,Red Bull,Red Bull,3,417.0,3,,445,,0.9370786516853933,Pré cost cap (2014-2020),HAUTE
2019,McLaren,McLaren,4,145.0,0,,220,,0.6590909090909091,Pré cost cap (2014-2020),MOYENNE
2019,Alpine,Renault,5,91.0,0,,272,,0.33455882352941174,Pré cost cap (2014-2020),HAUTE
2019,Racing Bulls,Toro Rosso,6,85.0,0,,150,,0.5666666666666667,Pré cost cap (2014-2020),MOYENNE
2019,Aston Martin,Racing Point,7,73.0,0,,145,,0.503448275862069,Pré cost cap (2014-2020),MOYENNE
2019,Kick Sauber,Alfa Romeo,8,57.0,0,,135,,0.4222222222222222,Pré cost cap (2014-2020),MOYENNE
2019,Haas,Haas,9,28.0,0,,145,,0.19310344827586207,Pré cost cap (2014-2020),MOYENNE
2019,Williams,Williams,10,1.0,0,,132,,0.007575757575757576,Pré cost cap (2014-2020),MOYENNE
2020,Mercedes,Mercedes,1,573.0,13,,440,,1.3022727272727272,Pré cost cap (2014-2020),FAIBLE
2020,Red Bull,Red Bull,2,319.0,2,,395,,0.8075949367088607,Pré cost cap (2014-2020),FAIBLE
2020,McLaren,McLaren,3,202.0,0,,200,,1.01,Pré cost cap (2014-2020),FAIBLE
2020,Aston Martin,Racing Point,4,195.0,1,,140,,1.3928571428571428,Pré cost cap (2014-2020),FAIBLE
2020,Alpine,Renault,5,181.0,0,,250,,0.724,Pré cost cap (2014-2020),FAIBLE
2020,Ferrari,Ferrari,6,131.0,0,,410,,0.3195121951219512,Pré cost cap (2014-2020),FAIBLE
2020,Racing Bulls,AlphaTauri,7,107.0,1,,145,,0.7379310344827587,Pré cost cap (2014-2020),FAIBLE
2020,Kick Sauber,Alfa Romeo,8,8.0,0,,125,,0.064,Pré cost cap (2014-2020),FAIBLE
2020,Haas,Haas,9,3.0,0,,135,,0.022222222222222223,Pré cost cap (2014-2020),FAIBLE
2020,Williams,Williams,10,0.0,0,,115,,0.0,Pré cost cap (2014-2020),FAIBLE
2021,Mercedes,Mercedes,1,613.5,9,145.0,295,,2.0796610169491525,Cost cap (2021+),MOYENNE
2021,Red Bull,Red Bull,2,585.5,11,147.0,300,,1.9516666666666667,Cost cap (2021+),HAUTE
2021,Ferrari,Ferrari,3,323.5,0,145.0,290,,1.1155172413793104,Cost cap (2021+),MOYENNE
2021,McLaren,McLaren,4,275.0,1,145.0,260,,1.0576923076923077,Cost cap (2021+),MOYENNE
2021,Alpine,Alpine,5,155.0,1,145.0,235,,0.6595744680851063,Cost cap (2021+),MOYENNE
2021,Racing Bulls,AlphaTauri,6,142.0,0,140.0,200,,0.71,Cost cap (2021+),MOYENNE
2021,Aston Martin,Aston Martin,7,77.0,0,145.0,235,,0.3276595744680851,Cost cap (2021+),MOYENNE
2021,Williams,Williams,8,23.0,0,140.0,200,,0.115,Cost cap (2021+),MOYENNE
2021,Kick Sauber,Alfa Romeo,9,13.0,0,140.0,195,,0.06666666666666667,Cost cap (2021+),MOYENNE
2021,Haas,Haas,10,0.0,0,135.0,180,,0.0,Cost cap (2021+),MOYENNE
2022,Red Bull,Red Bull,1,759.0,17,140.0,290,,2.617241379310345,Cost cap (2021+),HAUTE
2022,Ferrari,Ferrari,2,554.0,4,145.5,290,,1.910344827586207,Cost cap (2021+),HAUTE
2022,Mercedes,Mercedes,3,515.0,1,145.5,295,,1.7457627118644068,Cost cap (2021+),HAUTE
2022,Alpine,Alpine,4,173.0,0,145.5,240,,0.7208333333333333,Cost cap (2021+),MOYENNE
2022,McLaren,McLaren,5,159.0,0,145.5,260,,0.6115384615384616,Cost cap (2021+),MOYENNE
2022,Kick Sauber,Alfa Romeo,6,55.0,0,145.5,200,,0.275,Cost cap (2021+),MOYENNE
2022,Aston Martin,Aston Martin,7,55.0,0,145.5,240,,0.22916666666666666,Cost cap (2021+),MOYENNE
2022,Haas,Haas,8,37.0,0,140.0,185,,0.2,Cost cap (2021+),MOYENNE
2022,Racing Bulls,AlphaTauri,9,35.0,0,145.5,205,,0.17073170731707318,Cost cap (2021+),MOYENNE
2022,Williams,Williams,10,8.0,0,145.5,205,,0.03902439024390244,Cost cap (2021+),MOYENNE
2023,Red Bull,Red Bull,1,860.0,21,153.0,310,,2.774193548387097,Cost cap (2021+),HAUTE
2023,Mercedes,Mercedes,2,409.0,0,153.0,310,,1.3193548387096774,Cost cap (2021+),HAUTE
2023,Ferrari,Ferrari,3,406.0,1,153.0,305,,1.3311475409836067,Cost cap (2021+),HAUTE
2023,McLaren,McLaren,4,302.0,0,153.0,275,,1.0981818181818181,Cost cap (2021+),MOYENNE
2023,Aston Martin,Aston Martin,5,280.0,0,153.0,250,,1.12,Cost cap (2021+),MOYENNE
2023,Alpine,Alpine,6,120.0,0,153.0,250,,0.48,Cost cap (2021+),MOYENNE
2023,Williams,Williams,7,28.0,0,153.0,215,,0.13023255813953488,Cost cap (2021+),MOYENNE
2023,Racing Bulls,AlphaTauri,8,25.0,0,153.0,215,,0.11627906976744186,Cost cap (2021+),MOYENNE
2023,Kick Sauber,Alfa Romeo,9,16.0,0,153.0,210,,0.0761904761904762,Cost cap (2021+),MOYENNE
2023,Haas,Haas,10,12.0,0,153.0,195,,0.06153846153846154,Cost cap (2021+),MOYENNE
2024,McLaren,McLaren,1,666.0,6,165.5,290,,2.296551724137931,Cost cap (2021+),HAUTE
2024,Ferrari,Ferrari,2,652.0,5,165.5,320,,2.0375,Cost cap (2021+),HAUTE
2024,Red Bull,Red Bull,3,589.0,9,165.5,325,,1.8123076923076924,Cost cap (2021+),HAUTE
2024,Mercedes,Mercedes,4,468.0,4,165.5,325,,1.44,Cost cap (2021+),HAUTE
2024,Aston Martin,Aston Martin,5,94.0,0,165.5,265,,0.35471698113207545,Cost cap (2021+),MOYENNE
2024,Alpine,Alpine,6,65.0,0,165.5,265,,0.24528301886792453,Cost cap (2021+),MOYENNE
2024,Haas,Haas,7,58.0,0,165.5,210,,0.2761904761904762,Cost cap (2021+),MOYENNE
2024,Racing Bulls,RB,8,46.0,0,165.5,230,,0.2,Cost cap (2021+),MOYENNE
2024,Williams,Williams,9,17.0,0,165.5,230,,0.07391304347826087,Cost cap (2021+),MOYENNE
2024,Kick Sauber,Kick Sauber,10,4.0,0,165.5,225,,0.017777777777777778,Cost cap (2021+),MOYENNE
